City Name,Population,walkingScore,bikingScore - network,best average walk and bike score,# of races,race score (number of races / population)
"Eugene, Oregon",171245,45,23,34,43,0.000251102
"Columbia, Missouri",123180,31,23,27,30,0.000243546
"Bend, Oregon",97590,33,23,28,36,0.00036889
"Bellingham, Washington",90665,49,23,36,35,0.000386037
"Fayetteville, Arkansas",86751,32,23,28,31,0.000357345
"Missoula, Montana",74428,46,23,35,26,0.000349331
"Corvallis, Oregon",58641,48,23,36,19,0.000324005
"Springfield, Missouri",168122,38,22,30,42,0.000249819
"Topeka, Kansas",125904,36,22,29,25,0.000198564
"Davenport, Iowa",102085,41,22,32,15,0.000146936
"Lawrence, Kansas",97286,39,22,31,25,0.000256974
"Duluth, Minnesota",85884,35,22,29,48,0.000558893
"Kalamazoo, Michigan",76545,48,22,35,26,0.000339669
"Dubuque, Iowa",57941,40,22,31,11,0.000189848
"Rockford, Illinois",146526,42,21,32,33,0.000225216
"Lansing, Michigan",118427,43,21,32,40,0.000337761
"Billings, Montana",109550,35,21,28,34,0.000310361
"Erie, Pennsylvania",96471,59,21,40,42,0.000435364
"Flint, Michigan",95943,43,21,32,12,0.000125074
"Champaign, Illinois",88029,50,21,36,7,7.95192E-05
"Racine, Wisconsin",77432,56,21,39,10,0.000129146
"Appleton, Wisconsin",74526,42,21,32,22,0.000295199
"Auburn, Alabama",65738,27,21,24,24,0.000365086
"Janesville, Wisconsin",64565,35,21,28,10,0.000154883
"Cheyenne, Wyoming",63957,37,21,29,12,0.000187626
"Manhattan, Kansas",54959,39,21,30,26,0.00047308
"Olympia, Washington",52555,39,21,30,38,0.000723052
"Clarksville, Tennessee",156794,18,20,19,11,7.01557E-05
"Norman, Oklahoma",123471,31,20,26,8,6.47925E-05
"Evansville, Indiana",117963,42,20,31,43,0.000364521
"Montgomery, Alabama",198218,26,19,23,20,0.000100899
"Mobile, Alabama",189572,32,19,26,24,0.000126601
"Rochester, Minnesota",116961,30,16,23,31,0.000265046
"Yuma, Arizona",97908,31,16,24,9,9.1923E-05
"Medford, Oregon",82347,37,16,27,6,7.28624E-05
"Napa, California",79263,42,16,29,11,0.000138778
"Portland, Maine",66417,61,16,39,38,0.000572143
"Decatur, Alabama",54264,25,16,21,19,0.00035014
"Stillwater, Oklahoma",50391,36,16,26,11,0.000218293
"Roanoke, Virginia",99920,42,15,29,31,0.000310248
"Tallahassee, Florida",193551,32,14,23,53,0.00027383
"Knoxville, Tennessee",187500,31,14,23,87,0.000464
"Gainesville, Florida",133857,36,14,25,39,0.000291356
"Athens, Georgia",125964,27,14,21,51,0.000404878
"Longmont, Colorado",96577,39,14,27,16,0.000165671
"Redding, California",91772,26,14,20,13,0.000141655
"Frederick, Maryland",72146,46,14,30,27,0.000374241
"Richland, Washington",57303,33,14,24,21,0.000366473
"Huntsville, Alabama",197318,24,13,19,70,0.000354757
"Augusta, Georgia",196939,37,13,25,31,0.000157409
"Salem, Oregon",173442,42,13,28,36,0.000207562
"Peoria, Illinois",111388,39,13,26,24,0.000215463
"Canton, Ohio",70458,48,13,31,10,0.000141929
"Shreveport, Louisiana",188987,31,12,22,70,0.000370396
"Worcester, Massachusetts",185877,56,12,34,18,9.68382E-05
"Macon, Georgia",153095,31,12,22,26,0.000169829
"Savannah, Georgia",145862,43,12,28,59,0.000404492
"Springfield, Illinois",114694,35,12,24,30,0.000261566
"Jonesboro, Arkansas",76990,21,12,17,11,0.000142876
"Jackson, Mississippi",164422,28,11,20,20,0.000121638
"Columbus, Georgia",194160,26,8,17,41,0.000211166
"Lafayette, Louisiana",126143,42,8,25,29,0.000229898
"Fairfield, California",116884,32,8,20,8,6.84439E-05
"Waterbury, Connecticut",108093,48,8,28,8,7.40103E-05
"Tuscaloosa, Alabama",101113,33,8,21,9,8.90093E-05
"Livermore, California",90269,40,8,24,5,5.539E-05
"Albany, Georgia",75249,25,8,17,17,0.000225917
"Jackson, Tennessee",66903,25,8,17,11,0.000164417
"Youngstown, Ohio",64958,37,8,23,18,0.000277102
"Owensboro, Kentucky",59809,36,8,22,14,0.000234078
"Pocatello, Idaho",56266,38,8,23,13,0.000231045
"Little Rock, Arkansas",197881,37,22,30,38,0.000192035
"Port St. Lucie, Florida",195248,13,18,15,5,2.56085E-05
"Sioux Falls, South Dakota",181883,37,14,26,23,0.000126455
"Santa Rosa, California",177586,44,14,29,23,0.000129515
"Fort Collins, Colorado",167830,37,32,35,41,0.000244295
"Cedar Rapids, Iowa",133174,37,22,30,26,0.000195233
"Ann Arbor, Michigan",121890,37,22,30,34,0.00027894
"College Station, Texas",116218,37,18,27,33,0.000283949
"Santa Maria, California",107408,47,36,42,5,4.65515E-05
"Green Bay, Wisconsin",104879,37,21,29,27,0.00025744
"Wichita Falls, Texas",104576,30,18,24,11,0.000105187
"Las Cruces, New Mexico",102926,32,13,23,16,0.000155451
"South Bend, Indiana",101860,37,21,29,17,0.000166896
"San Angelo, Texas",100215,31,18,24,8,7.98284E-05
"New Bedford, Massachusetts",95315,66,18,42,8,8.39322E-05
"Fort Smith, Arkansas",87845,34,21,28,23,0.000261825
"St. George, Utah",87178,29,18,23,20,0.000229416
"Santa Fe, New Mexico",84612,39,14,27,12,0.000141824
"New Braunfels, Texas",84612,21,18,19,35,0.000413653
"Sioux City, Iowa",82396,37,13,25,6,7.28191E-05
"Lake Charles, Louisiana",78001,37,8,23,20,0.000256407
"Iowa City, Iowa",76290,37,22,30,24,0.000314589
"St. Joseph, Missouri",75959,33,18,25,19,0.000250135
"Rapid City, South Dakota",75443,29,22,26,17,0.000225336
"Apple Valley, California",73508,12,18,15,5,6.80198E-05
"Eau Claire, Wisconsin",68866,34,30,32,24,0.000348503
"Bowling Green, Kentucky",68401,35,12,24,21,0.000307013
"St. Cloud, Minnesota",68043,31,18,24,8,0.000117573
"Mount Vernon, New York",67593,37,8,23,0,0
"Redondo Beach, California",67412,71,18,44,4,5.93366E-05
"Yuba City, California",66992,40,18,29,4,5.97086E-05
"Johnson City, Tennessee",66778,25,21,23,13,0.000194675
"San Marcos, Texas",63509,39,18,28,20,0.000314916
"Grand Junction, Colorado",63374,31,18,24,7,0.000110455
"Idaho Falls, Idaho",61535,40,8,24,14,0.000227513
"Terre Haute, Indiana",60753,37,18,27,24,0.000395042
"Great Falls, Montana",58701,43,16,30,9,0.000153319
"Grand Forks, North Dakota",56948,40,24,32,10,0.000175599
"Blue Springs, Missouri",55104,27,18,22,5,9.07375E-05
"Lake Havasu City, Arizona",55090,16,18,17,5,9.07606E-05
"Port Arthur, Texas",55018,34,18,26,1,1.81759E-05
"Rocky Mount, North Carolina",54242,23,18,20,5,9.21795E-05
"Palm Desert, California",53185,37,18,27,4,7.52092E-05
"La Crosse, Wisconsin",51567,53,18,35,15,0.000290884
"Grand Island, Nebraska",51478,40,16,28,8,0.000155406
"Coeur d'Alene, Idaho",51303,35,18,26,14,0.000272889
"Battle Creek, Michigan",51247,37,18,27,20,0.000390267
